idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
5601,Biossido di Azoto,µg/m³,598,San Rocco al Porto v.Matteotti,50,LO,San Rocco al Porto,N,2002-01-24T00:00:00.000,,4992297,555154,(45.081985, 9.7007885)
5603,Biossido di Azoto,µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N,1999-12-30T00:00:00.000,,5017060,538042,(45.30601, 9.485263)
5604,Biossido di Azoto,µg/m³,601,Montanaso Lombardo SP 202,84,LO,Montanaso Lombardo,S,2000-01-13T00:00:00.000,2017-01-01T00:00:00.000,5020391,535459,(45.336132, 9.452554)
5605,Biossido di Azoto,µg/m³,602,Melegnano v.Predabissi,83,MI,Melegnano,S,2000-01-13T00:00:00.000,2017 gen,5022361,525789,(45.354286, 9.329244)
5606,Biossido di Azoto,µg/m³,603,Castiraga Vidardo v.Craxi,74,LO,Castiraga Vidardo,S,2000-01-13T00:00:00.000,2018-01-01T00:00:00.000,5012170,531404,(45.262325, 9.400281)
5607,Biossido di Azoto,µg/m³,604,Tavazzano con Villavesco v.Cascina Bagnolo,85,LO,Tavazzano con Villavesco,N,2000-01-13T00:00:00.000,,5019734,532492,(45.33036, 9.414645)
5609,Biossido di Azoto,µg/m³,606,San Giuliano Milanese via Milano,97,MI,San Giuliano Milanese,N,2000-01-13T00:00:00.000,,5027003,522127,(45.396194, 9.282701)
5610,Biossido di Azoto,µg/m³,607,Abbadia Cerreto v. Fanfulla,64,LO,Abbadia Cerreto,N,2000-01-13T00:00:00.000,,5017500,545920,(45.3095, 9.585791)
5611,Biossido di Azoto,µg/m³,608,Codogno v.Trento,59,LO,Codogno,N,2000-01-13T00:00:00.000,,5000892,554872,(45.159374, 9.698148)
5612,Biossido di Zolfo,µg/m³,530,Agrate Brianza v.Ferrario,162,MB,Agrate Brianza,S,1990-02-14T00:00:00.000,2006-05-05T00:00:00.000,5046977,527628,(45.575787, 9.354106)
5613,Biossido di Zolfo,µg/m³,536,Arese v. Matteotti,157,MI,Arese,S,1991-05-29T00:00:00.000,2003-10-22T00:00:00.000,5043325,506302,(45.543434, 9.080726)
5614,Biossido di Zolfo,µg/m³,527,Castano Primo v. Olimpiadi,175,MI,Castano Primo,S,1989-12-18T00:00:00.000,2009-12-04T00:00:00.000,5043625,482522,(45.545944, 8.776105)
5615,Biossido di Zolfo,µg/m³,512,Carate Brianza v.De Gasperi,250,MB,Carate Brianza,S,1994-10-27T00:00:00.000,2003-10-21T00:00:00.000,5057635,518272,(45.672024, 9.2345915)
5616,Biossido di Zolfo,µg/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,S,1984-12-14T00:00:00.000,2008-02-22T00:00:00.000,5038450,543458,(45.498226, 9.556232)
5617,Biossido di Zolfo,µg/m³,508,Cassano d'Adda v.di Vona,133,MI,Cassano d'Adda,S,1976-10-14T00:00:00.000,2017-12-11T00:00:00.000,5040847,540004,(45.520008, 9.512221)
5618,Biossido di Zolfo,µg/m³,529,Cinisello Balsamo v.Lincoln,149,MI,Cinisello Balsamo,S,1988-08-10T00:00:00.000,1999-05-04T00:00:00.000,5044335,517778,(45.552326, 9.227764)
5619,Biossido di Zolfo,µg/m³,544,Cormano v. Edison,153,MI,Cormano,N,1994-10-26T00:00:00.000,,5044180,512693,(45.55104, 9.162614)
5620,Biossido di Zolfo,µg/m³,525,Corsico v.le Italia,119,MI,Corsico,S,1983-06-06T00:00:00.000,2006-11-04T00:00:00.000,5031403,507619,(45.436108, 9.097411)
5621,Biossido di Zolfo,µg/m³,532,Cuggiono v. Languria,156,MI,Cuggiono,S,1989-12-18T00:00:00.000,2009-12-11T00:00:00.000,5038680,484723,(45.501484, 8.804454)
5622,Biossido di Zolfo,µg/m³,518,Galliate strada del Piaggio,153,NO,Galliate,S,1982-03-08T00:00:00.000,2017-01-08T00:00:00.000,5034980,479423,(45.468044, 8.73677)
